Tool	DevelopedBy
AccurateMassSearch	deNBI
AssayGeneratorMetabo	deNBI
BaselineFilter	old
BayesianProteinInference	deNBI
CVInspector	old
CometAdapter	deNBI
CompNovo	old
CompNovoCID	old
ConsensusID	old
ConsensusMapNormalizer	deNBI
ConvertTSVToTraML	extern
ConvertTraMLToTSV	extern
CruxAdapter	deNBI
DatabaseFilter	extern
DeNovoSymDiff	extern
Decharger	extern
DecoyDatabase	deNBI
Digestor	deNBI
DigestorMotif	old
EICExtractor	old
ExecutePipeline	old
ExternalCalibration	extern
FFEval	old
FalseDiscoveryRate	deNBI
FeatureFinderCentroided	old
FeatureFinderIdentification	deNBI
FeatureFinderIsotopeWavelet	old
FeatureFinderMRM	old
FeatureFinderMetabo	deNBI
FeatureFinderMetaboIdent	extern
FeatureFinderMultiplex	extern
FeatureFinderSuperHirn	old
FeatureLinkerLabeled	old
FeatureLinkerUnlabeled	old
FeatureLinkerUnlabeledKD	extern
FeatureLinkerUnlabeledQT	old
FidoAdapter	deNBI
FileConverter	old
FileFilter	deNBI
FileInfo	old
FileMerger	old
FuzzyDiff	old
GNPSExport	extern
GenericWrapper	old
HighResPrecursorMassCorrector	deNBI
IDConflictResolver	deNBI
IDEvaluatorGUI	old
IDExtractor	old
IDFileConverter	old
IDFilter	deNBI
IDMapper	old
IDMassAccuracy	old
IDMerger	old
IDPosteriorErrorProbability	deNBI
IDRipper	old
IDScoreSwitcher	extern
IDSplitter	old
INIUpdater	old
ITRAQAnalyzer	old
ImageCreator	old
InspectAdapter	old
InternalCalibration	extern
IsobaricAnalyzer	old
LargeScanExtractor	old
LowMemPeakPickerHiRes	old
LuciphorAdapter	old
MRMMapper	extern
MRMTransitionGroupPicker	extern
MSFraggerAdapter	deNBI
MSGFPlusAdapter	deNBI
MSSimulator	old
MSstatsConverter	deNBI
MaRaClusterAdapter	extern
MapAlignerIdentification	extern
MapAlignerPoseClustering	old
MapAlignerSpectrum	old
MapAlignerTreeBased	extern
MapAlignment	old
MapAlignmentAlgorithmTreeBased	extern
MapNormalizer	old
MapRTTransformer	old
MapStatistics	old
MascotAdapter	old
MascotAdapterOnline	old
MassCalculator	old
MassTraceExtractor	old
MetaProSIP	deNBI
MetaboliteAdductDecharger	old
MetaboliteSpectralMatcher	old
MetabolomicsLFQ	deNBI
MultiplexResolver	extern
MyriMatchAdapter	old
MzMLSplitter	old
MzTabExporter	deNBI
NoiseFilterGaussian	old
NoiseFilterSGolay	old
NovorAdapter	extern
NucleicAcidSearchEngine	extern
OMSSAAdapter	old
OpenMSToffeeWorkflow	extern
OpenPepXL	extern
OpenPepXLLF	extern
OpenSwathAnalyzer	old
OpenSwathAssayGenerator	old
OpenSwathChromatogramExtractor	old
OpenSwathConfidenceScoring	old
OpenSwathDecoyGenerator	old
OpenSwathFeatureXMLToTSV	old
OpenSwathFileSplitter	old
OpenSwathMzMLFileCacher	old
OpenSwathRTNormalizer	old
OpenSwathWorkflow	old
PSMFeatureExtractor	deNBI
PTPredict	old
PeakPickerHiRes	deNBI
PeakPickerIterative	old
PeakPickerWavelet	old
PepNovoAdapter	old
PeptideIndexer	deNBI
PercolatorAdapter	extern
PhosphoScoring	old
PrecursorMassCorrector	deNBI
ProteinInference	old
ProteinQuantifier	deNBI
ProteinResolver	old
ProteomicsLFQ	deNBI
QCCalculator	old
QCCollector	old
QCEmbedder	old
QCExporter	old
QCExtractor	old
QCtoJSON	extern
RNADigestor	extern
RNAMassCalculator	extern
RNPxl	deNBI
RNPxlSearch	deNBI
RNPxlXICFilter	deNBI
RTModel	old
RTPredict	old
Resampler	old
SILACWorkflow	old
SeedListGenerator	old
SemanticValidator	old
SequenceCoverageCalculator	extern
SimpleSearchEngine	deNBI
SiriusAdapter	extern
SpecLibCreator	old
SpecLibSearcher	deNBI
SpectraFilterBernNorm	old
SpectraFilterMarkerMower	old
SpectraFilterNLargest	old
SpectraFilterNormalizer	old
SpectraFilterParentPeakMower	old
SpectraFilterScaler	old
SpectraFilterSqrtMower	old
SpectraFilterThresholdMower	old
SpectraFilterWindowMower	old
SpectraMerger	old
SpectraSTSearchAdapter	extern
SvmTheoreticalSpectrumGeneratorTrainer	extern
TDFeatureDeconv	extern
TDfeatureDeconvolution	extern
TOFCalibration	old
TOPPNewTool	extern
TOPPView	deNBI
TargetedFileConverter	old
TextExporter	old
ToffeeWorkflow	extern
XFDR	extern
XMLValidator	old
XTandemAdapter	deNBI
